content_id,content_name,income
c041,"chilly garden",264000
c039,"tomato garden",180000
c029,"Investment for beginner (4)",165000
c026,"Investment for beginner (1)",120000
c025,"Investment forecast (3)",112000
c024,"Investment forecast (2)",104000
c003,"pet care (3)",104000
c025,"Investment forecast (3)",96000
c037,"home and garden northeast (1)",78000
c024,"Investment forecast (2)",78000
c016,"Foreign investment (1)",70400
c018,"Foreign investment (2)",66000
c003,"pet care (3)",62400
c015,"Thailand investment (1)",52500
c016,"Foreign investment (1)",44800
c003,"pet care (3)",31200
c011,"Bird me (1)",30000
c018,"Foreign investment (2)",30000
c020,"Foreign investment (3)",30000
c057,"bakery funny cupcake (3)",27000
c003,"pet care (3)",26000
c037,"home and garden northeast (1)",26000
c020,"Foreign investment (3)",25000
c057,"bakery funny cupcake (3)",22500
c030,"sunflower garden",18000
c019,"Thailand investment (3)",18000
c051,"coconut garden (5)",16800
c059,"yummy cupcake (1)",15990
c050,"coconut garden (4)",15400
c011,"Bird me (1)",15000
c008,"Tasmeow petpet (1)",14000
c055,"bakery funny cupcake (1)",13200
c059,"yummy cupcake (1)",12300
c009,"Tasmeow petpet (2)",10400
c066,"eagle pet(1)",9900
c050,"coconut garden (4)",7700
c008,"Tasmeow petpet (1)",7000
c041,"chilly garden",6000
c067,"eagle pet(2)",5100
c034,"home and garden (3)",5000
c068,"seagull pet",3750
c068,"seagull pet",3250
c063,"bird pet",2880
c037,"home and garden northeast (1)",2600
c032,"home and garden (1)",1800
c032,"home and garden (1)",1680
c001,"pet care (1)",1650
c052,"muffin bakery (1)",1320
c032,"home and garden (1)",1320
c014,"smart pet",1250
c052,"muffin bakery (1)",1200
c058,"funny bakery",1150
c030,"sunflower garden",900
c001,"pet care (1)",750
c009,"Tasmeow petpet (2)",600
c012,"dogme pet",420
c009,"Tasmeow petpet (2)",400
c013,"doggy pet",375
c013,"doggy pet",250
c062,"pet pet",250
c062,"pet pet",125
c007,"kitten food",60
