content_name,views,getContentRating(c.views)
"bakery funny cupcake (1)",1100,***
"bakery funny cupcake (2)",3000,***
"bakery funny cupcake (3)",4500,***
"banana in coconut garden",1500,***
"Bird me (1)",3000,***
"bird pet",120,*
"cat feeding",120,*
"chilly garden",12000,*****
"chilly in coconut garden",1300,***
"coco coconul",2450,***
"coco coconul",1650,***
"coco coconul",120,*
"coconut garden",1200,***
"coconut garden (2)",1400,***
"coconut garden (3)",1300,***
"coconut garden (4)",1540,***
"coconut garden (5)",1200,***
"coconut gardening",1400,***
"cupcake bakery (1)",200,*
"cute pet",50,N/A
"daisy garden",1500,***
"doggy pet",25,N/A
"dogme pet",30,N/A
"eagle pet(1)",450,*
"eagle pet(2)",340,*
"feeding pet",100,N/A
"Foreign investment (1)",3200,***
"Foreign investment (2)",3000,***
"Foreign investment (3)",2500,***
"funny bakery",230,*
"garden garden",2600,***
"home and garden (1)",120,*
"home and garden (2)",5200,****
"home and garden (3)",250,*
"home and garden (4)",600,**
"home and garden (5)",600,**
"home and garden northeast (1)",5200,****
"home and garden northeast (2)",1500,***
"how to plant coconut garden",1300,***
"Investment for beginner (1)",12000,*****
"Investment for beginner (2)",15000,*****
"Investment for beginner (3)",20000,*****
"Investment for beginner (4)",7500,****
"Investment forecast (1)",4000,***
"Investment forecast (2)",5200,****
"Investment forecast (3)",8000,****
"kitten food",120,*
"kitty pet pet",2900,***
"Local Investment",4300,***
"meow meow pet (1)",2000,***
"meow meow pet (2)",120,*
"muffin bakery (1)",120,*
"muffin bakery (2)",130,*
"papaya in coconut garden",1220,***
"pet care (1)",150,*
"pet care (2)",200,*
"pet care (3)",5200,****
"pet feeding",240,*
"pet pet",25,N/A
"potato garden",13300,*****
"seagull pet",250,*
"smart pet",50,N/A
"sunflower garden",1200,***
"Tasmeow petpet (1)",700,**
"Tasmeow petpet (2)",800,**
"Tasmeow petpet (3)",1200,***
"Thailand investment (1)",3500,***
"Thailand investment (2)",2500,***
"Thailand investment (3)",1200,***
"Thailand investment (4)",900,**
"Thailand investment (4)",1100,***
"tomato garden",12000,*****
"yummy cupcake (1)",1230,***
"yummy cupcake (2)",1400,***
"yummy cupcake (3)",1800,***
